DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
01-OCT-2015,FUTIDX,BANKNIFTY,29-OCT-2015,17238.15
01-OCT-2015,FUTIDX,BANKNIFTY,26-NOV-2015,17335.15
01-OCT-2015,FUTIDX,BANKNIFTY,31-DEC-2015,17421.10
01-OCT-2015,FUTIDX,CNXINFRA,29-OCT-2015,2856.60
01-OCT-2015,FUTIDX,CNXINFRA,26-NOV-2015,2872.80
01-OCT-2015,FUTIDX,CNXINFRA,31-DEC-2015,2892.90
01-OCT-2015,FUTIDX,CNXIT,29-OCT-2015,11874.35
01-OCT-2015,FUTIDX,CNXIT,26-NOV-2015,12001.15
01-OCT-2015,FUTIDX,CNXIT,31-DEC-2015,12085.25
01-OCT-2015,FUTIDX,CNXPSE,29-OCT-2015,3034.25
01-OCT-2015,FUTIDX,CNXPSE,26-NOV-2015,3051.45
01-OCT-2015,FUTIDX,CNXPSE,31-DEC-2015,3072.85
01-OCT-2015,FUTIDX,DJIA,16-OCT-2015,16355.00
01-OCT-2015,FUTIDX,DJIA,20-NOV-2015,16450.00
01-OCT-2015,FUTIDX,DJIA,18-DEC-2015,16540.00
01-OCT-2015,FUTIDX,DJIA,18-MAR-2016,16845.00
01-OCT-2015,FUTIDX,DJIA,17-JUN-2016,17152.50
01-OCT-2015,FUTIDX,DJIA,16-SEP-2016,17467.50
01-OCT-2015,FUTIDX,FTSE100,16-OCT-2015,6080.00
01-OCT-2015,FUTIDX,FTSE100,20-NOV-2015,6123.00
01-OCT-2015,FUTIDX,FTSE100,18-DEC-2015,6157.00
01-OCT-2015,FUTIDX,FTSE100,18-MAR-2016,6270.00
01-OCT-2015,FUTIDX,FTSE100,17-JUN-2016,6385.00
01-OCT-2015,FUTIDX,FTSE100,16-SEP-2016,6502.00
01-OCT-2015,FUTIDX,NFTYMCAP50,29-OCT-2015,3218.95
01-OCT-2015,FUTIDX,NFTYMCAP50,26-NOV-2015,3237.20
01-OCT-2015,FUTIDX,NFTYMCAP50,31-DEC-2015,3259.85
01-OCT-2015,FUTIDX,NIFTY,29-OCT-2015,7976.95
01-OCT-2015,FUTIDX,NIFTY,26-NOV-2015,8013.40
01-OCT-2015,FUTIDX,NIFTY,31-DEC-2015,8050.50
01-OCT-2015,FUTIDX,S&P500,16-OCT-2015,1929.75
01-OCT-2015,FUTIDX,S&P500,20-NOV-2015,1939.50
01-OCT-2015,FUTIDX,S&P500,18-DEC-2015,1950.25
01-OCT-2015,FUTIDX,S&P500,18-MAR-2016,1986.00
01-OCT-2015,FUTIDX,S&P500,17-JUN-2016,2022.25
01-OCT-2015,FUTIDX,S&P500,16-SEP-2016,2059.50
01-OCT-2015,FUTIVX,INDIAVIX,06-OCT-2015,1918.50
01-OCT-2015,FUTIVX,INDIAVIX,13-OCT-2015,1916.25
01-OCT-2015,FUTIVX,INDIAVIX,20-OCT-2015,1914.00
01-OCT-2015,FUTSTK,ABIRLANUVO,29-OCT-2015,2175.30
01-OCT-2015,FUTSTK,ABIRLANUVO,26-NOV-2015,2197.80
01-OCT-2015,FUTSTK,ABIRLANUVO,31-DEC-2015,2213.20
01-OCT-2015,FUTSTK,ACC,29-OCT-2015,1362.50
01-OCT-2015,FUTSTK,ACC,26-NOV-2015,1371.00
01-OCT-2015,FUTSTK,ACC,31-DEC-2015,1388.10
01-OCT-2015,FUTSTK,ADANIENT,29-OCT-2015,81.25
01-OCT-2015,FUTSTK,ADANIENT,26-NOV-2015,81.15
01-OCT-2015,FUTSTK,ADANIENT,31-DEC-2015,82.05
01-OCT-2015,FUTSTK,ADANIPORTS,29-OCT-2015,306.35
01-OCT-2015,FUTSTK,ADANIPORTS,26-NOV-2015,307.85
01-OCT-2015,FUTSTK,ADANIPORTS,31-DEC-2015,310.65
01-OCT-2015,FUTSTK,ADANIPOWER,29-OCT-2015,24.45
01-OCT-2015,FUTSTK,ADANIPOWER,26-NOV-2015,24.45
01-OCT-2015,FUTSTK,ADANIPOWER,31-DEC-2015,24.85
01-OCT-2015,FUTSTK,AJANTPHARM,29-OCT-2015,1516.00
01-OCT-2015,FUTSTK,AJANTPHARM,26-NOV-2015,1527.90
01-OCT-2015,FUTSTK,AJANTPHARM,31-DEC-2015,1538.60
