DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
28-SEP-2015,FUTIDX,BANKNIFTY,29-OCT-2015,17185.80
28-SEP-2015,FUTIDX,BANKNIFTY,26-NOV-2015,17286.75
28-SEP-2015,FUTIDX,BANKNIFTY,31-DEC-2015,17385.20
28-SEP-2015,FUTIDX,CNXINFRA,29-OCT-2015,2770.65
28-SEP-2015,FUTIDX,CNXINFRA,26-NOV-2015,2787.05
28-SEP-2015,FUTIDX,CNXINFRA,31-DEC-2015,2807.70
28-SEP-2015,FUTIDX,CNXIT,29-OCT-2015,11862.10
28-SEP-2015,FUTIDX,CNXIT,26-NOV-2015,11989.20
28-SEP-2015,FUTIDX,CNXIT,31-DEC-2015,12077.90
28-SEP-2015,FUTIDX,CNXPSE,29-OCT-2015,2968.45
28-SEP-2015,FUTIDX,CNXPSE,26-NOV-2015,2986.00
28-SEP-2015,FUTIDX,CNXPSE,31-DEC-2015,3008.10
28-SEP-2015,FUTIDX,DJIA,16-OCT-2015,16190.00
28-SEP-2015,FUTIDX,DJIA,20-NOV-2015,16500.00
28-SEP-2015,FUTIDX,DJIA,18-DEC-2015,16597.50
28-SEP-2015,FUTIDX,DJIA,18-MAR-2016,16917.50
28-SEP-2015,FUTIDX,DJIA,17-JUN-2016,17245.00
28-SEP-2015,FUTIDX,DJIA,16-SEP-2016,17580.00
28-SEP-2015,FUTIDX,FTSE100,16-OCT-2015,6132.00
28-SEP-2015,FUTIDX,FTSE100,20-NOV-2015,6178.00
28-SEP-2015,FUTIDX,FTSE100,18-DEC-2015,6215.00
28-SEP-2015,FUTIDX,FTSE100,18-MAR-2016,6335.00
28-SEP-2015,FUTIDX,FTSE100,17-JUN-2016,6458.00
28-SEP-2015,FUTIDX,FTSE100,16-SEP-2016,6583.00
28-SEP-2015,FUTIDX,NFTYMCAP50,29-OCT-2015,3174.95
28-SEP-2015,FUTIDX,NFTYMCAP50,26-NOV-2015,3193.70
28-SEP-2015,FUTIDX,NFTYMCAP50,31-DEC-2015,3217.35
28-SEP-2015,FUTIDX,NIFTY,29-OCT-2015,7825.50
28-SEP-2015,FUTIDX,NIFTY,26-NOV-2015,7860.70
28-SEP-2015,FUTIDX,NIFTY,31-DEC-2015,7903.70
28-SEP-2015,FUTIDX,S&P500,16-OCT-2015,1915.75
28-SEP-2015,FUTIDX,S&P500,20-NOV-2015,1953.25
28-SEP-2015,FUTIDX,S&P500,18-DEC-2015,1964.75
28-SEP-2015,FUTIDX,S&P500,18-MAR-2016,2002.75
28-SEP-2015,FUTIDX,S&P500,17-JUN-2016,2041.50
28-SEP-2015,FUTIDX,S&P500,16-SEP-2016,2081.00
28-SEP-2015,FUTIVX,INDIAVIX,29-SEP-2015,2169.00
28-SEP-2015,FUTIVX,INDIAVIX,06-OCT-2015,2152.50
28-SEP-2015,FUTIVX,INDIAVIX,13-OCT-2015,2136.00
28-SEP-2015,FUTSTK,ABIRLANUVO,29-OCT-2015,2161.60
28-SEP-2015,FUTSTK,ABIRLANUVO,26-NOV-2015,2184.15
28-SEP-2015,FUTSTK,ABIRLANUVO,31-DEC-2015,2200.30
28-SEP-2015,FUTSTK,ACC,29-OCT-2015,1337.95
28-SEP-2015,FUTSTK,ACC,26-NOV-2015,1344.10
28-SEP-2015,FUTSTK,ACC,31-DEC-2015,1363.50
28-SEP-2015,FUTSTK,ADANIENT,29-OCT-2015,80.60
28-SEP-2015,FUTSTK,ADANIENT,26-NOV-2015,81.40
28-SEP-2015,FUTSTK,ADANIENT,31-DEC-2015,82.00
28-SEP-2015,FUTSTK,ADANIPORTS,29-OCT-2015,308.70
28-SEP-2015,FUTSTK,ADANIPORTS,26-NOV-2015,311.10
28-SEP-2015,FUTSTK,ADANIPORTS,31-DEC-2015,313.35
28-SEP-2015,FUTSTK,ADANIPOWER,29-OCT-2015,24.50
28-SEP-2015,FUTSTK,ADANIPOWER,26-NOV-2015,24.65
28-SEP-2015,FUTSTK,ADANIPOWER,31-DEC-2015,24.85
28-SEP-2015,FUTSTK,AJANTPHARM,29-OCT-2015,1449.60
28-SEP-2015,FUTSTK,AJANTPHARM,26-NOV-2015,1461.95
28-SEP-2015,FUTSTK,AJANTPHARM,31-DEC-2015,1472.75
28-SEP-2015,FUTSTK,ALBK,29-OCT-2015,77.45
28-SEP-2015,FUTSTK,ALBK,26-NOV-2015,78.15
28-SEP-2015,FUTSTK,ALBK,31-DEC-2015,78.70
28-SEP-2015,FUTSTK,AMARAJABAT,29-OCT-2015,982.40
28-SEP-2015,FUTSTK,AMARAJABAT,26-NOV-2015,993.65
28-SEP-2015,FUTSTK,AMARAJABAT,31-DEC-2015,1001.00
28-SEP-2015,FUTSTK,AMBUJACEM,29-OCT-2015,203.60
28-SEP-2015,FUTSTK,AMBUJACEM,26-NOV-2015,204.95
28-SEP-2015,FUTSTK,AMBUJACEM,31-DEC-2015,207.15
28-SEP-2015,FUTSTK,AMTEKAUTO,29-OCT-2015,45.15
28-SEP-2015,FUTSTK,ANDHRABANK,29-OCT-2015,67.65
28-SEP-2015,FUTSTK,ANDHRABANK,26-NOV-2015,67.85
28-SEP-2015,FUTSTK,ANDHRABANK,31-DEC-2015,68.55
28-SEP-2015,FUTSTK,APOLLOHOSP,29-OCT-2015,1410.45
28-SEP-2015,FUTSTK,APOLLOHOSP,26-NOV-2015,1420.40
28-SEP-2015,FUTSTK,APOLLOHOSP,31-DEC-2015,1430.95
28-SEP-2015,FUTSTK,APOLLOTYRE,29-OCT-2015,183.75
28-SEP-2015,FUTSTK,APOLLOTYRE,26-NOV-2015,185.15
28-SEP-2015,FUTSTK,APOLLOTYRE,31-DEC-2015,186.55
28-SEP-2015,FUTSTK,ARVIND,29-OCT-2015,284.05
28-SEP-2015,FUTSTK,ARVIND,26-NOV-2015,284.95
28-SEP-2015,FUTSTK,ARVIND,31-DEC-2015,289.45
28-SEP-2015,FUTSTK,ASHOKLEY,29-OCT-2015,90.95
28-SEP-2015,FUTSTK,ASHOKLEY,26-NOV-2015,91.45
28-SEP-2015,FUTSTK,ASHOKLEY,31-DEC-2015,92.40
28-SEP-2015,FUTSTK,ASIANPAINT,29-OCT-2015,797.95
28-SEP-2015,FUTSTK,ASIANPAINT,26-NOV-2015,802.00
28-SEP-2015,FUTSTK,ASIANPAINT,31-DEC-2015,810.35
28-SEP-2015,FUTSTK,AUROPHARMA,29-OCT-2015,749.55
28-SEP-2015,FUTSTK,AUROPHARMA,26-NOV-2015,754.65
28-SEP-2015,FUTSTK,AUROPHARMA,31-DEC-2015,761.75
28-SEP-2015,FUTSTK,AXISBANK,29-OCT-2015,509.95
28-SEP-2015,FUTSTK,AXISBANK,26-NOV-2015,512.80
28-SEP-2015,FUTSTK,AXISBANK,31-DEC-2015,516.85
28-SEP-2015,FUTSTK,BAJAJ-AUTO,29-OCT-2015,2276.90
28-SEP-2015,FUTSTK,BAJAJ-AUTO,26-NOV-2015,2302.85
28-SEP-2015,FUTSTK,BAJAJ-AUTO,31-DEC-2015,2319.90
28-SEP-2015,FUTSTK,BAJFINANCE,29-OCT-2015,4850.95
28-SEP-2015,FUTSTK,BAJFINANCE,26-NOV-2015,4880.00
28-SEP-2015,FUTSTK,BAJFINANCE,31-DEC-2015,4919.25
28-SEP-2015,FUTSTK,BANKBARODA,29-OCT-2015,184.70
28-SEP-2015,FUTSTK,BANKBARODA,26-NOV-2015,185.80
28-SEP-2015,FUTSTK,BANKBARODA,31-DEC-2015,187.25
28-SEP-2015,FUTSTK,BANKINDIA,29-OCT-2015,136.50
28-SEP-2015,FUTSTK,BANKINDIA,26-NOV-2015,137.20
28-SEP-2015,FUTSTK,BANKINDIA,31-DEC-2015,138.10
28-SEP-2015,FUTSTK,BATAINDIA,29-OCT-2015,1100.85
28-SEP-2015,FUTSTK,BATAINDIA,26-NOV-2015,1120.35
28-SEP-2015,FUTSTK,BATAINDIA,31-DEC-2015,1128.65
28-SEP-2015,FUTSTK,BEL,29-OCT-2015,1161.60
28-SEP-2015,FUTSTK,BEL,26-NOV-2015,1197.95
28-SEP-2015,FUTSTK,BEL,31-DEC-2015,1206.85
28-SEP-2015,FUTSTK,BEML,29-OCT-2015,1251.00
28-SEP-2015,FUTSTK,BEML,26-NOV-2015,1258.95
