SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
BE,PKTEA,The P K Tea Prod Co Ltd, ,22/09/2015,28/09/2015,18/09/2015, , ,AGM/DIV-RE 0.75 PER SHARE
BE,LYPSAGEMS,Lypsa Gems & Jewel Ltd, ,25/09/2015,26/09/2015,23/09/2015, , ,AGM/DIV-RE 0.35 PER SHARE
BE,NGCT,Northgate Com Tech Ltd, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
BE,SFCL,Star Ferro & Cement Ltd., ,22/09/2015,25/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
BE,8KMILES,8K Miles Soft Serv Ltd, ,12/09/2015,18/09/2015,10/09/2015, , ,ANNUAL GENERAL MEETING   
BE,RAJASPETRO,Rajasthan Petro Synthetic, ,22/09/2015,28/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
BE,SPICEMOBI,Spice Mobility Limited, ,23/09/2015,29/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
BE,SURANASOL,Surana Solar Ltd, ,25/09/2015,30/09/2015,23/09/2015, , ,AGM/DIV-RE 0.50 PER SHARE
BE,PROZONINTU,Prozone Intu Prop Limited, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETIN    
BE,CIGNITITEC,Cigniti Technologies Ltd, ,15/09/2015,18/09/2015,11/09/2015, , ,ANNUAL GENERAL MEETING   
BE,SUPERHOUSE,Superhouse Limited, ,10/09/2015,23/09/2015,08/09/2015, , ,AGM/DIV-RS 1.50 PER SHARE
BE,SHEMAROO,Shemaroo Enter. Ltd., ,15/09/2015,21/09/2015,11/09/2015, , ,AGM/DIV-RS 1.20 PER SHARE
BE,CREST,Crest Ventures Limited, ,08/09/2015,15/09/2015,04/09/2015, , ,AGM/DIV-RE 0.50 PER SHARE
BE,NOESISIND,Noesis Industries Limited, ,25/09/2015,30/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
BE,ARCOTECH,Arcotech Limited, ,21/09/2015,28/09/2015,16/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
BE,GULFOILLUB,Gulf Oil Lub. Ind. Ltd., ,16/09/2015,22/09/2015,14/09/2015, , ,AGM/DIV-RS 3.50 PER SHARE
BE,PDSMFL,PDS Multinational Fas Ltd, ,16/09/2015,22/09/2015,14/09/2015, , ,ANNUAL GENERAL MEETING   
BE,GULFCORP,Gulf Oil Corp. Ltd., ,17/09/2015,23/09/2015,15/09/2015, , ,AGM/DIV-RS 2 PER SHARE   
BE,AGARIND,Agarwal Inds Corp Ltd., ,24/09/2015,30/09/2015,22/09/2015, , ,DIVIDEND - RS 1.50 PER SH
BE,SHARDACROP,Sharda Cropchem Limited, ,12/09/2015,12/09/2015,10/09/2015, , ,AGM/DIV-RS 2.50 PER SHARE
BE,IGL,Indraprastha Gas Limited, ,11/09/2015,22/09/2015,09/09/2015, , ,DIVIDEND-RS 6 PER SHARE  
BE,RADICO,Radico Khaitan Limited, ,25/09/2015,30/09/2015,23/09/2015, , ,AGM/DIV-RE 0.80 PER SHARE
BE,STCINDIA,The State Trading Corpn, ,21/09/2015,28/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
BE,VIPULLTD,Vipul Limited, ,18/09/2015,26/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
BE,UFO,UFO Moviez India Ltd., ,09/09/2015,15/09/2015,07/09/2015, , ,ANNUAL GENERAL MEETING   
BE,BYKE,The Byke Hospitality Ltd, ,21/09/2015,26/09/2015,16/09/2015, , ,AGM/DIV - RE 1 PER SHARE 
BE,ALANKIT,Alankit Limited,24/09/2015, , ,23/09/2015, , ,FV SPLT FRM RS 10 TO RS 2
BE,ORICONENT,Oricon Enterprises Ltd, ,11/09/2015,19/09/2015,09/09/2015, , ,AGM/DIV-RE 0.44 PER SHARE
BE,SKIPPER,Skipper Limited, ,17/09/2015,23/09/2015,15/09/2015, , ,AGM/DIV-RS 1.30 PER SHARE
BE,WELENT,Welspun Enterprises Ltd, ,24/09/2015,25/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
BE,ZENTEC,Zen Technologies Limited, ,22/09/2015,26/09/2015,18/09/2015, , ,AGM/DIV-RE 0.35 PER SHARE
BE,INOXWIND,Inox Wind Limited, ,16/09/2015,19/09/2015,14/09/2015, , ,ANNUAL GENERAL MEETING   
BE,HESTERBIO,Hester Biosciences Ltd, ,12/09/2015,15/09/2015,10/09/2015, , ,AGM/DIV-RS 3.10 PER SHARE
BE,SIGNET,Signet Industries Limited, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
BE,GULFPETRO,GP Petroleums Limited, ,24/09/2015,30/09/2015,22/09/2015, , ,AGM/DIV-RE 0.10 PER SHARE
BE,ELAND,E-Land Apparel Limited, ,24/09/2015,25/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
BE,A2ZINFRA,A2Z Infra Engineering Ltd, ,20/09/2015,26/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
BE,EXCEL,Excel Realty N Infra Ltd, ,15/09/2015,21/09/2015,11/09/2015, , ,ANNUAL GENERAL MEETING   
BE,FCL,Fineotex Chemical Limited, ,23/09/2015,28/09/2015,21/09/2015, , ,AGM/DIV-RE 0.50 PER SHARE
BE,GANECOS,Ganesha Ecosphere Limited, ,13/09/2015,19/09/2015,10/09/2015, , ,AGM/DIV-RS 1.20 PER SHARE
BE,RTNPOWER,RattanIndia Power Limited, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
BE,RTNINFRA,RattanIndia Infra Limited, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
BE,PNCINFRA,PNC Infratech Ltd., ,22/09/2015,28/09/2015,18/09/2015, , ,AGM/DIV-RS 1.50 PER SHARE
BE,MANAKALUCO,Manak Aluminium Co. Ltd., ,18/09/2015,22/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
BE,GENUSPAPER,Genus P&B Limited, ,21/09/2015,26/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
BE,IZMO,IZMO Limited, ,29/09/2015,29/09/2015,24/09/2015, , ,ANNUAL GENERAL MEETING   
BE,MANAKSTEEL,Manaksia Steels Ltd, ,18/09/2015,22/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
BE,MANAKCOAT,Man Coat Metal & Ind Ltd, ,17/09/2015,21/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
BE,MANAKINDST,Manaksia Industries Ltd, ,19/09/2015,23/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
BE,GOODLUCK,Good Luck Steel Tubes Ltd, ,24/09/2015,30/09/2015,22/09/2015, , ,AGM/DIV-RE 0.75 PER SHARE
BE,CCHHL,Country Club Hosp Hol Ltd, ,23/09/2015,30/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
