SECURITY,NEW,PREVIOUS,NEW_STATUS
8.52% TAX FREE TR I S IB,1321,1205,H
CEAT LIMITED,1254,1185,H
NCD 12.75% PA CUMM O3,1699,1596,H
ARVIND INFRASTRUCTURE LTD,33.35,30.35,H
ABBOTT INDIA LIMITED,5505,5430,H
GIR NATUREVIEW RESORT LTD,177.8,176,H
BONDS SRNCD 12.25% SR-V,1039,1038,H
NEULAND LAB LTD.,718,647.9,H
NCD 10.75% PA CUMM S4,1445.39,1444.99,H
BOND SV,1279.99,1236.5,H
SEC RED NCD SV,1435.15,1250,H
VETO SWITCHGEAR CABLE LTD,65.15,67,L
C&C CONST. LTD.,10.85,11.2,L
TIMBOR HOME LIMITED,3.35,3.5,L
GANESHA ECOSPHERE LIMITED,112.5,117.1,L
MAJESCO LIMITED,286.8,288.3,L
VIJAY SHANTHI BUILD LTD,7.65,7.75,L
ARVIND INFRASTRUCTURE LTD,27.35,30.35,L
MURLI INDUST. LTD.,3.95,4,L
C.MAHENDRA EXPORTS LTD,2.55,2.65,L
ORICON ENTERPRISES LTD,35,39.1,L
POWER GRID CORP. LTD.,121.8,122.4,L
SHYAM CENTURY FERROUS LTD,5.45,5.7,L
SURANA SOLAR LIMITED,14.25,14.9,L
ADANI TRANSMISSION LTD,25.3,25.35,L
ANDHRA CEMENTS LIMITED,3.35,3.45,L
CASTEX TECHNOLOGIES LTD.,40.4,42.5,L
EMKAY TAP & CUT. TOOL LTD,321,322.5,L
METALYST FORGINGS LIMITED,35.8,37.65,L
NATH BIO-GENES (I) LTD,67.5,69.2,L
ORTIN LABORATORIES LTD,8.95,9,L
ROHIT FERRO-TECH LIMITED,5.45,5.55,L
SUPERHOUSE LIMITED,136.5,138,L
SURANA CORPORATION LTD,1.9,1.95,L
UTIAMC - UTISENSETF,250.57,251,L

