MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,CNX Nifty,      7818.60,      7729.05,      7819.85,      7678.50,      7788.10,153713604471.67,711471434,Y, ,7210893,      9119.20,      7539.50
Y, , ,CNX IT,     11504.90,     11439.45,     11468.95,     11292.20,     11396.95,0,0,Y, ,0,     12908.10,     10605.10
Y, , ,CNX Nifty Junior,     19402.50,     19176.60,     19568.05,     18994.35,     19501.75,0,0,Y, ,0,     21730.80,     16271.45
Y, , ,BANK Nifty,     16631.50,     16351.75,     16711.55,     16192.25,     16597.65,0,0,Y, ,0,     20907.55,     15130.35
Y, , ,CNX Midcap,     12648.50,     12489.70,     12705.05,     12379.75,     12670.00,0,0,Y, ,0,     14237.60,     10940.85
Y, , ,CNX 500,      6522.30,      6447.40,      6526.00,      6403.95,      6504.50,0,0,Y, ,0,      7428.10,      6204.00
Y, , ,CNX 100,      7943.40,      7852.15,      7954.30,      7798.85,      7924.10,0,0,Y, ,0,      9105.40,      7656.90
Y, , ,Nifty Midcap 50,      3062.90,      3015.85,      3070.40,      2985.05,      3062.15,0,0,Y, ,0,      3581.70,      2851.55
Y, , ,CNX Realty,       164.45,       160.80,       164.40,       158.95,       163.45,0,0,Y, ,0,       247.75,       146.45
Y, , ,CNX Infra,      2891.75,      2856.95,      2917.05,      2831.20,      2904.95,0,0,Y, ,0,      3456.75,      2749.55
Y, , ,CNX Energy,      7586.20,      7496.95,      7563.55,      7457.25,      7536.85,0,0,Y, ,0,      9858.05,      7246.25
Y, , ,CNX FMCG,     19306.30,     19166.95,     19359.15,     19048.25,     19306.75,0,0,Y, ,0,     22716.70,     18720.95
Y, , ,CNX MNC,      9438.00,      9359.15,      9459.65,      9258.60,      9431.05,0,0,Y, ,0,     10600.95,      8022.90
Y, , ,CNX Pharma,     12360.05,     12253.15,     12360.00,     12129.75,     12315.00,0,0,Y, ,0,     14020.70,     10053.70
Y, , ,CNX PSE,      3008.65,      2976.95,      3012.00,      2959.70,      3001.60,0,0,Y, ,0,      3812.80,      2898.45
Y, , ,CNX PSU Bank,      3016.55,      2954.15,      2989.50,      2913.35,      2965.10,0,0,Y, ,0,      4453.90,      2858.40
Y, , ,CNX Service,     10114.75,      9993.40,     10104.05,      9934.65,     10058.45,0,0,Y, ,0,     11917.50,      9543.85
Y, , ,India VIX,24.3000,24.3000,25.8350,24.0175,24.7450,0,0,Y, ,0,35.5700,9.3475
Y, , ,CNX AUTO,      7814.85,      7717.85,      7914.95,      7616.70,      7875.85,0,0,Y, ,0,      9110.50,      7413.20
Y, , ,CNX Metal,      1809.15,      1780.80,      1802.65,      1768.45,      1794.55,0,0,Y, ,0,      3175.75,      1666.65
Y, , ,CNX Media,      2330.75,      2310.35,      2346.75,      2277.00,      2333.70,0,0,Y, ,0,      2534.25,      1934.40
Y, , ,CNX Smallcap,      5037.75,      4958.45,      5020.30,      4903.15,      5013.20,0,0,Y, ,0,      6112.10,      4690.30
Y, , ,CNX 200,      4100.10,      4052.30,      4103.75,      4023.85,      4088.85,0,0,Y, ,0,      4706.30,      3925.55
Y, , ,CNX Dividend Oppt,      1829.90,      1810.50,      1828.35,      1797.80,      1822.30,0,0,Y, ,0,      2230.30,      1772.55
Y, , ,CNX Commodities,      2321.25,      2294.10,      2317.50,      2280.00,      2309.95,0,0,Y, ,0,      3006.95,      2197.00
Y, , ,CNX Consumption,      3342.10,      3316.95,      3355.65,      3286.05,      3344.05,0,0,Y, ,0,      3732.45,      3088.55
Y, , ,CNX Finance,      6832.70,      6725.65,      6837.10,      6661.00,      6792.35,0,0,Y, ,0,      8390.55,      6193.45
Y, , ,Nifty Dividend,        81.60,        81.60,        81.60,        81.60,        81.60,0,0,Y, ,0,          .00,          .00
Y, , ,LIX 15,      3147.15,      3095.55,      3158.30,      3065.75,      3143.20,0,0,Y, ,0,      4198.05,      2973.65
Y, , ,CPSE Index,      2017.15,      1995.75,      2025.40,      1980.80,      2015.25,0,0,Y, ,0,      2656.95,      1928.20
Y, , ,NI15,      5147.65,      5108.40,      5127.30,      5082.15,      5115.05,0,0,Y, ,0,      5515.60,      4571.60
