SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
WOCKHARDT LIMITED,      1217.45,      1316.25,3547459,               4528108495.35
INFOSYS LIMITED,      1088.70,      1080.45,4181502,               4515821659.75
AXIS BANK LIMITED,       486.25,       482.60,8384392,               4021676312.75
CEAT LIMITED,      1140.25,      1220.25,2985108,               3569289861.20
TATA MOTORS LIMITED,       344.90,       354.10,9872906,               3435068315.50
TATA CONSULTANCY SERV LT,      2549.75,      2545.40,1332909,               3404019638.10
ICICI BANK LTD.,       264.55,       267.40,12471151,               3269218104.50
STATE BANK OF INDIA,       231.65,       227.45,14195882,               3208874369.70
LARSEN & TOUBRO LTD.,      1592.50,      1615.35,1960302,               3118289338.95
YES BANK LIMITED,       716.55,       713.00,3547050,               2490121137.75
DR. REDDY'S LABORATORIES,      4041.05,      3973.55,608979,               2420767171.90
HDFC LTD,      1186.65,      1162.75,2039371,               2366383345.00
RELIANCE INDUSTRIES LTD,       874.05,       867.00,2531423,               2186106316.90
TATA ELXSI LIMITED,      1948.10,      1927.80,1144922,               2183877769.70
BHARAT PETROLEUM CORP  LT,       820.25,       839.70,2560227,               2134830308.65
HINDUSTAN UNILEVER LTD.,       803.05,       790.15,2651147,               2087711783.50
SUN PHARMACEUTICALS IND.,       839.05,       839.70,2478514,               2076250329.50
HCL TECHNOLOGIES LTD,       943.20,       915.90,2059423,               1892096024.65
ITC LTD,       314.40,       313.35,5978850,               1877384330.95
RELIANCE COMMUNICATIONS L,        62.20,        65.00,27890175,               1777824321.20
EICHER MOTORS LTD,     17967.35,     18496.90,97738,               1771409186.45
DLF LIMITED,       122.50,       123.90,14458515,               1743177412.15
TATA STEEL LIMITED,       239.50,       240.20,7252370,               1717664862.25
AUROBINDO PHARMA LTD,       714.50,       710.15,2275127,               1610620934.25
ASHOK LEYLAND LTD,        87.50,        87.25,18529069,               1591171308.95

