MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,D1,INDHOTEL,INDHOTEL CCD 2014,        79.45,        78.00,        80.00,        78.00,        79.62,                   979213.81,12463, ,54,       120.75,        74.00
N,N1,ECLFINANCE,ECL NCD 11.60% OPT I,      1030.05,      1023.95,      1028.95,      1023.95,      1025.51,                  1509682.44,1470,XI,25,      1100.99,       975.13
N,N1,IIHFL,11.52% SEC REDE NCD OPT I,      1031.00,      1033.99,      1034.00,      1025.00,      1032.69,                  2717970.31,2639, ,41,      1094.40,       950.01
N,N1,IRFC,BOND 8.00% PA TAX FREE S1,      1125.00,      1128.00,      1128.90,      1125.00,      1125.00,                  2154389.30,1915, ,12,      1128.90,      1030.00
N,N1,NHAI,BOND 8.20% PA TAX FREE S1,      1140.24,      1140.00,      1144.90,      1140.00,      1143.03,                  5564652.78,4869, ,36,      1161.00,      1051.30
N,N1,RECLTD,TAXFREE SEC NCD TR1 S1,      1058.00,      1049.00,      1055.00,      1049.00,      1050.03,                   335907.25,320, ,6,      1088.00,      1000.00
N,N1,RELIFIN,NCD  SEC S1,      1040.20,      1051.00,      1051.00,      1050.50,      1050.50,                    15760.00,15, ,5,      1268.00,       995.05
N,N1,SBIN,BOND 9.25% PA SERIES 1,     10495.00,     10461.20,     10599.00,     10461.20,     10488.55,                   336639.40,32, ,7,     11580.00,      9966.00
N,N2,ECLFINANCE,ECL NCD OPT II,      1225.00,      1230.00,      1230.00,      1230.00,      1230.00,                    30750.00,25, ,1,      1239.00,      1036.20
N,N2,HUDCO,8.20 NCD05MAR27 FV 1000,      1112.11,      1119.00,      1119.00,      1110.00,      1114.78,                  8696455.54,7810, ,119,      1372.07,      1072.51
N,N2,IIHFL,IIHFL 12.00 NCD OPT I,      1061.00,      1060.50,      1065.00,      1057.00,      1059.45,                  1261224.34,1190, ,41,      1070.00,       995.00
N,N2,IRFC,BOND 8.10% PA TAX FREE S2,      1150.00,      1141.00,      1150.00,      1141.00,      1147.12,                   753086.56,658, ,16,      1279.70,      1042.01
N,N2,NHAI,BOND 8.30% PA TAX FREE S2,      1191.15,      1190.00,      1200.00,      1190.00,      1200.00,                  2199058.92,1840, ,10,      1250.00,      1050.00
N,N2,RECLTD,TAXFREE SEC NCD TR1 S2,      1069.99,      1070.00,      1070.00,      1070.00,      1070.00,                    53500.00,50, ,2,      1090.00,      1005.55
N,N2,RELIFIN,NCD  SEC S2,      1385.80,      1385.80,      1385.80,      1385.80,      1385.80,                     6929.00,5, ,1,      1391.00,      1200.00
N,N2,SREIBNPNCD,10.20% SRNCD SR II,       974.00,       940.00,      1000.00,       940.00,      1000.00,                    19400.00,20, ,2,      1005.00,       815.00
N,N3,ECLFINANCE,ECL NCD 11.85% OPT III,      1073.97,      1053.06,      1059.00,      1053.06,      1055.75,                   360605.91,342,XI,16,      1157.00,       975.15
N,N3,HUDCO,8.10 NCD 05MAR22 FV 1000,      1082.91,      1081.13,      1084.00,      1081.11,      1082.50,                   162267.00,150, ,4,      1156.00,      1045.50
N,N3,IRFC,7.18 NCD 19FEB23 TR1 SR1,      1061.00,      1061.00,      1061.00,      1061.00,      1061.00,                    10610.00,10, ,1,      1118.00,       940.00
N,N3,L&TFINANCE,NCD 9.95% CUMUL. OPT III,      1779.32,      1779.00,      1784.99,      1779.00,      1781.04,                   234996.97,132, ,7,      1997.00,      1513.55
N,N3,NHAI,8.27% TAX FREE TR I S IA,      1070.00,      1070.18,      1070.18,      1070.18,      1070.18,                     5350.90,5, ,1,      1248.00,      1070.00
N,N3,SBIN,BOND 9.75% PA RET. S3,     10770.00,     10760.01,     10799.00,     10760.01,     10798.33,                  1777668.52,165, ,17,     11100.00,     10110.23
N,N4,ECLFINANCE,ECL NCD OPT IV,      1278.99,      1275.00,      1279.00,      1275.00,      1279.00,                    73982.00,58, ,2,      1279.00,      1001.01
N,N4,HUDCO,7.34 NCD 16FEB23 TR1 SR1,      1045.00,      1035.00,      1035.00,      1031.01,      1031.01,                   413401.50,400, ,2,      1116.10,       977.00
N,N4,IIFLFIN,11.9 NCD 18AUG16 FV 1000,      1061.67,      1062.10,      1062.10,      1062.10,      1062.10,                   176308.60,166, ,2,      1140.00,       899.00
N,N4,L&TFINANCE,NCD 10.24% SEMIANN OPT IV,      1095.55,      1096.00,      1103.40,      1096.00,      1098.99,                   424073.00,386, ,9,      1173.89,      1000.00
N,N4,NHAI,8.52% TAX FREE TR I S IB,      1130.00,      1321.00,      1321.00,      1130.00,      1136.09,                   608010.00,520, ,15,      1321.00,      1000.00
N,N4,RELIFIN,NCD SEC S3 CAT IV,      1075.00,      1075.00,      1075.00,      1075.00,      1075.00,                   107500.00,100, ,3,      1225.00,      1003.50
N,N5,ECLFINANCE,ECL NCD 12% OPT I,      1071.99,      1065.00,      1065.00,      1061.65,      1061.65,                   470355.04,442,XI,11,      1161.00,      1005.02
N,N5,HUDCO,7.51 NCD 16FEB28 TR1 SR2,      1053.00,      1054.00,      1054.00,      1052.00,      1052.50,                  1073580.00,1020, ,3,      1229.90,      1015.00
N,N5,IIFLFIN,NCD 12.75% PA UNS O1,      1095.00,      1095.00,      1099.00,      1086.10,      1089.99,                  1080833.99,990, ,46,      1148.00,       950.00
N,N5,MANAPPURAM,BONDS SRNCD 12.25% SR-V,      1038.00,      1030.00,      1039.00,      1030.00,      1033.18,                    33094.00,32, ,5,      1039.00,       839.00
N,N5,NHBTF2014,BOND 8.88%PA TF TR-I S 2B,      5826.00,      5929.00,      5929.00,      5929.00,      5929.00,                   592900.00,100, ,1,      6030.00,      5090.00
N,N5,SBIN,BOND 9.95% PA RET. S4,     11132.20,     11130.10,     11148.00,     11130.10,     11142.21,                  2784731.10,250, ,31,     11850.00,     10535.00
N,N6,ECLFINANCE,ECL NCD 12% OPT II,      1051.00,      1065.00,      1065.00,      1065.00,      1065.00,                    84135.00,79, ,3,      1159.00,      1002.00
N,N6,IIFLFIN,NCD 12.75% PA UNS O2,      1080.43,      1090.00,      1090.00,      1090.00,      1090.00,                    27250.00,25, ,2,      1273.99,       975.60
N,N6,IREDA,IREDA 8.80NCDTR I SR IIIB,      1170.00,      1200.00,      1200.00,      1200.00,      1200.00,                     1200.00,1, ,1,      1397.00,      1055.25
N,N6,MUTHOOTFIN,12.25 NCD OPT III FV 1000,      1011.49,      1011.49,      1011.49,      1008.26,      1009.00,                   950916.47,942, ,24,      1125.00,       905.00
N,N6,NHAI,8.75% TAX FREE TR I S IIB,      1180.00,      1180.00,      1180.00,      1179.00,      1179.30,                  2509809.53,2127, ,16,      1399.00,      1126.01
N,N6,NHBTF2014,BOND 9.01%PA TF TR-I S 3B,      6180.00,      6185.05,      6185.05,      6185.05,      6185.05,                    61850.50,10, ,1,      6500.00,      5925.00
N,N6,NHBTF2023,NHB 8.93 NCD TR II SR 2 B,      5965.50,      5950.00,      5950.00,      5950.00,      5950.00,                     5950.00,1, ,1,      6500.00,      5630.00
N,N6,NHPC,8.92% SEC RED BOND S3B,      1200.00,      1192.01,      1195.06,      1190.20,      1194.20,                  1520983.20,1274, ,13,      1339.00,      1155.00
N,N6,NTPC,8.91%S-R-NCD SERIES 3B,      1226.13,      1220.00,      1235.00,      1220.00,      1230.12,                  1046940.00,854, ,7,      1419.00,      1120.00
N,N7,ECLFINANCE,ECL NCD 0% OPT III,      1225.00,      1230.30,      1230.30,      1230.30,      1230.30,                   492120.00,400, ,2,      1249.99,      1020.00
N,N7,IIFLFIN,NCD 12.75% PA CUMM O3,      1454.00,      1699.00,      1699.00,      1424.00,      1450.00,                   215311.50,148, ,11,      1699.00,      1235.00
N,N7,NHBTF2023,NHB 8.90 NCD TR II SR 3 B,      5804.28,      5810.00,      5810.00,      5810.00,      5810.00,                   290500.00,50, ,5,      7418.00,      5555.00
N,N7,NTPC,8.49% SEC NON-CUM RED NCD,        13.11,        13.15,        13.15,        13.05,        13.10,                   619429.71,47253, ,63,        14.15,        10.36
N,N8,ECLFINANCE,ECL NCD 10% OPT I,      1003.00,      1005.00,      1005.00,      1005.00,      1005.00,                   251250.00,250,XI,2,      1021.00,       990.00
N,N8,IIFLFIN,12% SEC REDE NCD OPT I,      1020.81,      1020.10,      1023.99,      1020.05,      1021.97,                  2464709.21,2413, ,40,      1078.00,       991.60
N,N8,MUTHOOTFIN,NCD  SEC OPT2,      1032.34,      1033.56,      1033.56,      1033.56,      1033.56,                    10335.60,10, ,1,      1149.99,       970.00
N,N8,RELIFIN,NCD SEC S5 CAT IV,      1455.71,      1455.00,      1455.00,      1455.00,      1455.00,                    43650.00,30, ,3,      1485.00,      1232.00
N,N8,SHRIRAMCIT,NCD 10.75% PA SEC S2,      1079.99,      1079.00,      1079.00,      1079.00,      1079.00,                   215800.00,200, ,1,      1135.09,       996.25
N,N9,IIFLFIN,12% SEC REDE NCD OPT II,      1064.25,      1060.00,      1064.55,      1060.00,      1064.55,                    63736.50,60, ,2,      1235.76,      1004.80
