MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,AXISGOLD,AXIS MF - AXIS GOLD ETF,      2406.05,      2417.00,      2417.00,      2360.00,      2379.30,                   471988.10,198,63,      2806.90,      2323.00,GOLD
N,EQ,BANKBEES,GOLDMAN SACHS BANKING ETF,      1671.37,      1669.00,      1685.00,      1611.10,      1676.44,                 20431483.06,12341,461,      2098.85,      1536.00,BANK NIFTY
N,EQ,BSLGOLDETF,BIRLA SL GOLD ETF - GO,      2451.15,      2473.90,      2473.90,      2403.10,      2454.95,                    65626.00,27,10,      2792.00,      2350.00,GOLD
N,EQ,BSLNIFTY,BIRLA SL NIFTY ETF - GO,        88.00,        85.00,        87.00,        83.50,        85.09,                    25874.65,305,20,       110.67,        65.30,NIFTY
N,EQ,CPSEETF,GOLDMANAMC - CPSEETF,        20.77,        20.60,        20.79,        20.43,        20.65,                  5474352.67,265384,254,        30.00,        19.77,CPSE INDEX
N,EQ,CRMFGETF,CAN ROBECO - GOLD ETF,      2510.00,      2495.00,      2500.00,      2490.00,      2490.00,                     9985.00,4,4,      2995.00,      2362.00,GOLD
N,EQ,GOLDBEES,GOLDMAN SACHS GOLD ETF,      2398.05,      2388.00,      2388.00,      2373.05,      2376.55,                 46865775.85,19710,1459,      2600.00,      2075.00,GOLD
N,EQ,GOLDSHARE,UTI GOLD ETF,      2396.60,      2388.80,      2399.95,      2330.15,      2343.95,                  5964704.65,2524,371,      3000.00,      2167.00,GOLD
N,EQ,HDFCMFGETF,HDFC GOLD ETF,      2488.10,      2452.05,      2507.90,      2452.05,      2490.80,                  3672708.95,1478,299,      3003.75,      2351.05,GOLD
N,EQ,HNGSNGBEES,HANGSENG GOLDMAN SACH ETF,      2250.00,      2249.00,      2249.00,      2249.00,      2249.00,                    17992.00,8,4,      2928.00,      1802.50,HANG SENG INDEX
N,EQ,ICNX100,ICICIPRAMC - ICCNX100,        87.99,        88.00,        88.00,        87.80,        87.86,                     5543.40,63,10,       109.40,        70.25,CNX 100
N,EQ,IDBIGOLD,IDBI MF - IDBI GOLD ETF,      2460.00,      2450.00,      2450.00,      2425.50,      2429.15,                    75390.80,31,10,      2731.00,      2333.05,GOLD
N,EQ,IGOLD,ICICI PRUDENTIAL GOLD ETF,      2418.95,      2424.00,      2424.00,      2372.05,      2393.95,                   133266.05,56,18,      3000.00,      2099.00,GOLD
N,EQ,INFRABEES,INFRA GOLDMAN SACHS ETF,       290.41,       290.07,       294.97,       290.07,       294.97,                   244861.73,839,13,       377.00,       275.42,CNX INFRASTRUCTURE
N,EQ,INIFTY,ICICIPRAMC NIFETF,        87.09,        84.00,        87.48,        84.00,        86.26,                    50383.48,589,31,       101.98,        73.04,NIFTY
